State,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Illinois,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.4,2.1,2.1,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.5,6.5,6.5,7.5,7.75,8,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Indiana,1.15,1.15,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,2,2,2,2,2,2,2,2,2,2,2,2,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Iowa,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,4.25,4.65,4.65,4.65,4.65,4.65,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.6,1.6,1.6,2,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Maine,1.4,1.4,1.6,1.6,1.8,1.8,1.8,1.8,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.65,3.65,3.65,3.85,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7,7.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9
Maryland,1.15,1.15,1.3,1.3,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,8.25,8.75,8.75
Massachusetts,1.6,1.6,1.6,1.6,1.75,1.75,1.75,1.75,2.1,2.1,2.1,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.65,3.65,3.65,3.75,4.25,4.25,4.25,4.25,4.75,5.25,5.25,5.25,6,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8,8,8,8,8,8,8,9,10,11
Michigan,1.25,1.25,1.25,1.25,1.6,1.6,1.6,1.6,2.2,2.2,2.2,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.4,7.4,7.4,7.4,7.4,8.15,8.15,8.5,8.9
